run_id,dataset,model,batch_size,optimizer,lr,pin_memory,epochs,test_accuracy,test_f1,test_precision,test_recall,training_time_sec,gpu_id
0,MNIST,ResNet18,16,SGD,0.001,False,2,98.55,0.985509,0.985604,0.9855,88.355937,0
1,MNIST,ResNet18,16,SGD,0.001,False,5,98.907143,0.989066,0.989106,0.989071,215.126785,1
2,MNIST,ResNet18,16,SGD,0.001,True,2,98.657143,0.986574,0.986648,0.986571,85.081275,0
3,MNIST,ResNet18,16,SGD,0.001,True,5,99.064286,0.990639,0.990657,0.990643,213.298061,1
4,MNIST,ResNet18,16,SGD,0.0001,False,2,97.807143,0.978071,0.978104,0.978071,84.992753,0
5,MNIST,ResNet18,16,SGD,0.0001,False,5,98.385714,0.983846,0.983884,0.983857,212.983056,1
6,MNIST,ResNet18,16,SGD,0.0001,True,2,97.885714,0.978862,0.978889,0.978857,85.207665,0
7,MNIST,ResNet18,16,SGD,0.0001,True,5,98.528571,0.985277,0.985317,0.985286,213.325875,1
8,MNIST,ResNet18,16,Adam,0.001,False,2,96.8,0.968001,0.970254,0.968,97.7508,0
9,MNIST,ResNet18,16,Adam,0.001,False,5,98.757143,0.987575,0.987678,0.987571,243.239947,1
10,MNIST,ResNet18,16,Adam,0.001,True,2,98.764286,0.987635,0.987706,0.987643,98.805884,0
11,MNIST,ResNet18,16,Adam,0.001,True,5,98.535714,0.985329,0.985521,0.985357,245.804646,1
12,MNIST,ResNet18,16,Adam,0.0001,False,2,97.478571,0.974741,0.975715,0.974786,96.957254,0
13,MNIST,ResNet18,16,Adam,0.0001,False,5,98.857143,0.988573,0.988591,0.988571,245.238042,1
14,MNIST,ResNet18,16,Adam,0.0001,True,2,98.385714,0.98387,0.983981,0.983857,97.967685,0
15,MNIST,ResNet18,16,Adam,0.0001,True,5,98.064286,0.980628,0.980871,0.980643,243.655813,1
16,MNIST,ResNet18,32,SGD,0.001,False,2,98.392857,0.983932,0.984027,0.983929,44.594754,0
17,MNIST,ResNet18,32,SGD,0.001,False,5,98.978571,0.989786,0.989802,0.989786,113.459134,1
18,MNIST,ResNet18,32,SGD,0.001,True,2,98.485714,0.984855,0.984917,0.984857,44.992326,0
